policy_id,customer_id,policy_type,coverage_amount,monthly_premium,start_date,status
PC00021-03,C00021,Investment,4011690,6638.96,2021-04-27,Lapsed
PC00022-01,C00022,Life,3022463,5091.77,2020-09-13,Lapsed
PC00022-02,C00022,Accident,2452130,2371.23,2018-02-12,Active
PC00023-01,C00023,Life,851108,724.58,2021-05-19,Active
PC00023-02,C00023,Investment,843166,930.06,2022-06-21,Active
PC00024-01,C00024,Health,1160877,1671.2,2018-02-25,Active
PC00025-01,C00025,Health,1451175,1548.19,2018-11-19,Active
PC00025-02,C00025,Health,3483178,4708.2,2021-11-14,Active
PC00026-01,C00026,Life,824315,1342.24,2019-08-29,Active
PC00026-02,C00026,Health,1872512,2192.26,2021-06-25,Active
PC00027-01,C00027,Life,3885889,3543.4,2018-11-13,Active
PC00027-02,C00027,Life,1110436,742.65,2020-07-11,Active
PC00027-03,C00027,Life,1997186,2148.79,2018-09-29,Active
PC00028-01,C00028,Health,118690,198.72,2022-09-17,Active
PC00028-02,C00028,Accident,2324191,3211.4,2022-12-25,Active
PC00028-03,C00028,Health,2589180,2518.17,2021-08-04,Active
PC00029-01,C00029,Accident,2500110,1891.03,2019-02-12,Cancelled
PC00029-02,C00029,Accident,2896578,4397.17,2021-07-18,Active
PC00029-03,C00029,Investment,1815465,2115.65,2022-10-11,Active
PC00030-01,C00030,Health,724130,441.39,2019-01-12,Active
PC00030-02,C00030,Health,1427804,1958.94,2022-05-11,Active
PC00030-03,C00030,Investment,205789,274.85,2021-07-20,Active
PC00031-01,C00031,Life,595926,709.36,2022-07-04,Active
PC00031-02,C00031,Life,2569957,4357.16,2019-01-14,Active
PC00032-01,C00032,Life,4533402,5716.8,2020-09-02,Active
PC00032-02,C00032,Investment,1443239,1014.54,2019-11-30,Active
PC00033-01,C00033,Life,2509799,3309.17,2021-09-07,Active
PC00033-02,C00033,Health,504363,329.52,2020-10-17,Active
PC00033-03,C00033,Investment,2300906,2017.51,2020-05-07,Active
PC00034-01,C00034,Accident,1637120,2454.14,2019-04-02,Active
PC00035-01,C00035,Health,4974532,8024.47,2019-09-27,Active
PC00036-01,C00036,Accident,2399804,2999.2,2018-12-05,Active
PC00036-02,C00036,Health,537325,622.38,2020-06-28,Active
PC00036-03,C00036,Life,1547690,893.76,2019-03-15,Lapsed
PC00037-01,C00037,Life,2883144,1926.65,2019-12-29,Active
PC00037-02,C00037,Life,646770,1226.17,2022-07-28,Active
PC00037-03,C00037,Accident,1596888,1968.04,2020-12-13,Active
PC00038-01,C00038,Life,1583919,901.12,2021-11-06,Active
PC00038-02,C00038,Accident,328156,648.13,2022-10-10,Active
PC00039-01,C00039,Accident,2002034,3526.46,2019-03-08,Active
PC00040-01,C00040,Health,1071635,827.72,2020-01-02,Active
PC00040-02,C00040,Life,4541090,6017.14,2021-08-22,Active
PC00040-03,C00040,Accident,4391815,7440.85,2019-12-24,Active
PC00041-01,C00041,Life,4121736,2256.73,2020-08-01,Active
PC00041-02,C00041,Investment,4272027,6044.51,2020-02-18,Active
PC00041-03,C00041,Accident,2432165,3955.64,2018-02-20,Active
PC00042-01,C00042,Investment,2642955,5042.87,2022-04-06,Active
PC00042-02,C00042,Investment,2886559,1601.68,2021-12-24,Active
PC00043-01,C00043,Investment,2353004,1968.2,2019-05-14,Active
PC00044-01,C00044,Life,1665086,1566.61,2019-04-12,Active
PC00045-01,C00045,Health,1013780,1191.26,2022-10-29,Active
PC00045-02,C00045,Accident,1648367,1749.57,2019-03-19,Active
PC00045-03,C00045,Life,417794,329.74,2019-02-25,Active
PC00046-01,C00046,Accident,3537277,3366.89,2020-10-17,Active
PC00046-02,C00046,Health,4123764,4507.08,2021-04-23,Active
PC00046-03,C00046,Investment,3887921,5144.63,2019-06-29,Active
PC00047-01,C00047,Investment,274134,491.41,2019-08-10,Active
PC00047-02,C00047,Life,1931905,1805.37,2019-12-16,Active
PC00048-01,C00048,Health,645914,789.23,2020-09-25,Active
PC00048-02,C00048,Accident,208593,403.45,2018-01-27,Active
PC00049-01,C00049,Accident,4207075,3610.21,2021-07-05,Active
PC00049-02,C00049,Life,2235101,3973.14,2018-07-02,Active
PC00049-03,C00049,Health,1416966,1794.45,2021-04-20,Lapsed
PC00050-01,C00050,Life,4393676,4825.78,2018-08-18,Active
PC00051-01,C00051,Life,1802947,3207.53,2021-09-26,Active
PC00051-02,C00051,Health,1428856,1354.53,2021-10-11,Active
PC00051-03,C00051,Investment,1021801,1256.63,2019-06-17,Active
PC00052-01,C00052,Life,3581001,2900.09,2018-01-18,Active
PC00053-01,C00053,Investment,908064,1516.01,2021-06-18,Cancelled
PC00053-02,C00053,Investment,3912917,3196.71,2018-03-16,Active
PC00053-03,C00053,Accident,3891675,2975.87,2020-11-17,Active
PC00054-01,C00054,Investment,4327487,4670.72,2020-08-13,Active
PC00054-02,C00054,Accident,4967470,5307.09,2018-02-04,Active
PC00055-01,C00055,Health,896792,547.85,2022-10-08,Active
PC00055-02,C00055,Life,3235424,2580.92,2019-07-21,Active
PC00056-01,C00056,Health,4660666,6038.11,2022-04-09,Active
PC00056-02,C00056,Health,177866,282.43,2020-09-17,Active
PC00056-03,C00056,Health,3587504,7075.9,2018-09-07,Active
PC00057-01,C00057,Health,4710674,7287.45,2022-11-28,Active
PC00057-02,C00057,Accident,4292652,8456.84,2022-06-30,Active
PC00058-01,C00058,Health,2350292,3328.2,2019-04-07,Active
PC00058-02,C00058,Investment,1592234,2792.7,2022-04-13,Active
PC00059-01,C00059,Life,690765,423.44,2021-12-08,Active
PC00059-02,C00059,Investment,3593864,3625.45,2022-10-22,Active
PC00060-01,C00060,Health,553571,992.4,2021-04-12,Active
PC00060-02,C00060,Accident,4216337,8071.77,2022-09-17,Active
PC00060-03,C00060,Life,3759378,2746.87,2019-04-29,Active
PC00061-01,C00061,Life,4185111,4185.08,2022-02-11,Active
PC00062-01,C00062,Accident,2313885,1946.5,2022-12-25,Active
PC00062-02,C00062,Investment,1254242,1837.87,2019-08-01,Active
PC00063-01,C00063,Life,2264046,3384.04,2020-06-12,Active
PC00063-02,C00063,Accident,4137224,4190.94,2021-08-22,Active
PC00064-01,C00064,Accident,1721940,2123.44,2022-07-01,Active
PC00064-02,C00064,Life,2929718,2301.59,2020-07-31,Active
PC00065-01,C00065,Investment,3055130,1688.35,2019-06-14,Active
PC00065-02,C00065,Life,3109784,5083.88,2019-09-15,Active
PC00065-03,C00065,Investment,1812624,1230.57,2021-07-03,Active
PC00066-01,C00066,Life,4531102,3299.13,2019-03-25,Active
PC00066-02,C00066,Health,480919,958.26,2018-12-21,Active
PC00066-03,C00066,Life,2803876,3865.93,2019-01-24,Active
PC00067-01,C00067,Accident,710438,1104.26,2018-05-13,Active
PC00068-01,C00068,Life,2430025,4710.39,2022-05-31,Active
PC00068-02,C00068,Health,139088,101.96,2020-07-07,Active
PC00068-03,C00068,Accident,223849,381.87,2021-10-29,Active
PC00069-01,C00069,Investment,3011385,5971.96,2022-06-07,Active
PC00070-01,C00070,Accident,962787,1694.65,2018-11-27,Active
PC00070-02,C00070,Investment,796101,1469.84,2019-07-28,Active
PC00071-01,C00071,Health,1109971,685.46,2021-07-08,Active
PC00072-01,C00072,Life,775453,398.38,2022-05-31,Active
PC00072-02,C00072,Accident,555695,536.88,2022-01-12,Lapsed
PC00072-03,C00072,Accident,658995,647.35,2018-12-14,Active
PC00073-01,C00073,Investment,614755,836.28,2022-06-25,Active
PC00074-01,C00074,Life,1822089,1825.28,2022-04-28,Active
PC00074-02,C00074,Health,4080061,2614.29,2021-09-12,Active
PC00074-03,C00074,Health,1939471,1710.98,2020-03-10,Active
PC00075-01,C00075,Health,3964568,7361.75,2022-10-20,Active
PC00076-01,C00076,Accident,1822570,2863.51,2021-07-12,Active
PC00076-02,C00076,Health,1112424,908.67,2022-06-17,Active
PC00076-03,C00076,Accident,2005282,1472.96,2018-08-08,Active
PC00077-01,C00077,Life,1718185,1168.07,2019-11-11,Active
PC00078-01,C00078,Health,3125632,5011.58,2018-05-26,Active
PC00079-01,C00079,Life,4346640,4777.82,2020-11-25,Cancelled
PC00079-02,C00079,Health,213224,265.59,2022-10-03,Active
PC00079-03,C00079,Investment,1433505,1752.28,2018-12-02,Active
PC00080-01,C00080,Health,3410021,5863.3,2020-08-10,Active
PC00081-01,C00081,Health,245913,209.82,2018-11-06,Active
PC00082-01,C00082,Health,4533523,7602.03,2018-02-08,Active
PC00082-02,C00082,Life,4647606,8649.32,2019-12-06,Active
PC00082-03,C00082,Life,3379167,3616.61,2018-12-18,Active
PC00083-01,C00083,Accident,2916113,5423.66,2021-07-28,Active
PC00084-01,C00084,Accident,4086717,2498.85,2019-08-03,Active
PC00084-02,C00084,Health,884321,1388.7,2022-02-12,Active
PC00085-01,C00085,Life,3324407,3543.0,2022-01-20,Active
PC00086-01,C00086,Life,217722,206.66,2018-08-10,Active
PC00086-02,C00086,Investment,2975903,3107.01,2020-09-12,Active
PC00087-01,C00087,Life,3144422,3899.3,2022-05-08,Active
PC00087-02,C00087,Health,2452047,3064.31,2020-11-05,Active
PC00087-03,C00087,Life,3223648,4283.54,2020-02-03,Active
PC00088-01,C00088,Life,2226657,1133.56,2022-08-13,Active
PC00088-02,C00088,Accident,2908861,4325.73,2018-03-31,Active
PC00088-03,C00088,Investment,2423339,3580.55,2019-12-27,Active
PC00089-01,C00089,Health,1720482,1067.67,2020-01-08,Active
PC00090-01,C00090,Life,3487539,1745.33,2022-06-16,Active
PC00090-02,C00090,Accident,1973588,3529.3,2020-03-12,Active
PC00091-01,C00091,Accident,4271841,4287.99,2022-03-22,Active
PC00092-01,C00092,Investment,1270290,1363.27,2022-06-29,Active
PC00092-02,C00092,Health,4276023,8360.4,2019-10-01,Active
PC00092-03,C00092,Investment,1468713,1464.34,2018-05-16,Active
PC00093-01,C00093,Accident,3771475,6289.93,2020-07-13,Active
PC00093-02,C00093,Investment,2774755,4625.19,2018-04-11,Active
PC00093-03,C00093,Health,2303535,3115.89,2019-08-28,Active
PC00094-01,C00094,Health,3581677,4201.3,2019-10-20,Active
PC00094-02,C00094,Investment,4655197,6339.44,2020-08-19,Active
PC00094-03,C00094,Life,3518896,2415.15,2020-02-14,Active
PC00095-01,C00095,Accident,1799758,2068.88,2020-01-21,Active
PC00095-02,C00095,Health,4303222,4761.93,2018-02-14,Active
PC00096-01,C00096,Investment,1060671,1576.58,2020-04-26,Active
PC00096-02,C00096,Accident,2037641,2760.27,2018-01-23,Active
PC00096-03,C00096,Health,2360023,2891.45,2018-03-08,Active
PC00097-01,C00097,Investment,2844077,1905.68,2022-03-06,Active
PC00097-02,C00097,Life,1864091,1059.19,2019-11-07,Active
PC00097-03,C00097,Health,2311003,1387.47,2020-04-17,Active
PC00098-01,C00098,Accident,2679002,1744.32,2022-07-26,Active
PC00098-02,C00098,Health,203720,314.97,2022-07-11,Active
PC00098-03,C00098,Health,604412,322.15,2018-12-19,Active
PC00099-01,C00099,Accident,4619818,5631.02,2019-06-04,Active
PC00099-02,C00099,Investment,1879361,2024.66,2021-03-15,Active
PC00100-01,C00100,Investment,2917370,5096.58,2020-06-24,Active
PC00100-02,C00100,Life,1903960,1902.03,2021-11-04,Active
PC00100-03,C00100,Investment,1280953,1471.95,2019-04-23,Active
PC00101-01,C00101,Health,3302237,3595.76,2018-09-03,Active
PC00101-02,C00101,Investment,2120610,4152.72,2020-11-30,Active
PC00102-01,C00102,Investment,1071543,742.2,2018-11-18,Active
PC00103-01,C00103,Investment,4687286,7541.16,2019-10-23,Active
PC00103-02,C00103,Accident,4309402,5409.77,2018-12-03,Active
PC00103-03,C00103,Accident,3847113,6799.99,2019-02-25,Active
PC00104-01,C00104,Life,1030549,1778.92,2019-10-04,Active
PC00105-01,C00105,Health,3890410,5190.1,2021-08-15,Active
PC00105-02,C00105,Investment,2457784,2044.33,2019-04-22,Active
PC00105-03,C00105,Life,3101164,4694.17,2022-11-08,Active
PC00106-01,C00106,Health,3112735,2733.33,2022-02-20,Active
PC00106-02,C00106,Health,2857755,4029.07,2022-05-28,Active
PC00106-03,C00106,Accident,2774251,4877.92,2020-06-06,Active
PC00107-01,C00107,Life,1203382,1677.15,2019-06-18,Active
PC00107-02,C00107,Life,3516756,5891.72,2018-08-19,Active
PC00107-03,C00107,Health,949752,560.58,2020-12-08,Active
PC00108-01,C00108,Investment,4207600,5639.36,2020-02-28,Active
PC00109-01,C00109,Investment,4295827,6732.25,2018-12-31,Active
PC00109-02,C00109,Life,1269365,1600.0,2018-09-18,Active
PC00109-03,C00109,Life,2351900,4308.96,2021-09-26,Active
PC00110-01,C00110,Investment,3082002,2538.5,2018-03-05,Active
PC00110-02,C00110,Accident,3279810,3400.74,2018-10-07,Active
PC00111-01,C00111,Life,3567364,5254.0,2021-08-05,Active
PC00111-02,C00111,Health,2285330,1496.34,2021-03-28,Active
PC00111-03,C00111,Accident,3180856,5898.07,2018-12-04,Active
PC00112-01,C00112,Life,1788008,2387.03,2021-01-06,Active
PC00112-02,C00112,Life,3634709,4147.63,2019-03-08,Active
PC00113-01,C00113,Accident,2250901,1310.44,2022-03-02,Active
PC00113-02,C00113,Investment,246140,364.18,2021-10-08,Active
PC00113-03,C00113,Accident,1894821,1924.47,2022-12-26,Active
PC00114-01,C00114,Health,4029987,5584.8,2019-08-25,Active
PC00114-02,C00114,Accident,4686989,5304.66,2022-12-25,Active
PC00114-03,C00114,Accident,2596778,2763.93,2019-11-16,Active
PC00115-01,C00115,Accident,3496580,2395.6,2020-11-28,Active
PC00116-01,C00116,Health,3592217,2650.42,2022-07-06,Active
PC00116-02,C00116,Accident,820483,1369.95,2021-03-30,Active
PC00117-01,C00117,Accident,4399803,8484.13,2018-04-03,Active
PC00117-02,C00117,Health,674219,424.97,2022-06-02,Active
PC00118-01,C00118,Life,3536494,3076.6,2020-11-12,Active
PC00118-02,C00118,Life,4568482,7398.18,2019-01-27,Active
PC00118-03,C00118,Health,2552808,2558.99,2020-05-21,Active
PC00119-01,C00119,Accident,228032,454.4,2018-01-14,Active
PC00120-01,C00120,Life,139888,211.3,2021-05-31,Active
PC00121-01,C00121,Accident,3445857,5893.24,2019-03-23,Active
PC00121-02,C00121,Health,3715127,3417.36,2022-01-11,Active
PC00122-01,C00122,Investment,1394845,2404.6,2020-03-10,Active
PC00122-02,C00122,Accident,597653,327.51,2021-06-19,Active
PC00123-01,C00123,Accident,1355830,1484.37,2018-01-06,Active
PC00123-02,C00123,Investment,3748693,5244.92,2021-06-28,Active
PC00124-01,C00124,Accident,4052658,5915.91,2018-01-05,Active
PC00124-02,C00124,Life,3652894,5010.0,2018-08-13,Active
PC00125-01,C00125,Health,4958774,5530.26,2020-11-07,Active
PC00126-01,C00126,Accident,4330365,6114.86,2021-03-17,Active
PC00126-02,C00126,Investment,842827,1295.79,2018-05-11,Active
PC00127-01,C00127,Health,1831545,2791.81,2019-02-06,Active
PC00127-02,C00127,Investment,2321152,3235.59,2018-02-15,Active
PC00128-01,C00128,Life,3741816,5479.39,2019-12-29,Active
PC00129-01,C00129,Accident,2647094,2197.99,2018-11-11,Active
PC00129-02,C00129,Accident,4940697,4007.56,2019-08-06,Active
PC00130-01,C00130,Accident,2478953,4457.02,2018-11-21,Active
PC00131-01,C00131,Health,2136092,3214.75,2021-03-23,Active
PC00131-02,C00131,Life,3579802,2869.74,2018-02-18,Active
PC00131-03,C00131,Health,1812242,1102.54,2022-10-10,Active
PC00132-01,C00132,Investment,1646760,1684.91,2022-02-19,Active
PC00132-02,C00132,Accident,3632376,6345.8,2022-12-25,Active
PC00132-03,C00132,Accident,2747348,2693.36,2020-03-07,Active
PC00133-01,C00133,Life,2002094,3366.59,2020-07-20,Active
PC00133-02,C00133,Life,1473470,838.27,2020-09-12,Active
PC00133-03,C00133,Health,4341047,3005.63,2018-12-13,Active
PC00134-01,C00134,Investment,4177072,6278.43,2021-04-25,Active
PC00135-01,C00135,Investment,2423405,4633.95,2019-02-20,Active
PC00135-02,C00135,Accident,459157,731.41,2019-01-02,Active
PC00135-03,C00135,Accident,2952979,3987.26,2019-11-26,Active
PC00136-01,C00136,Investment,2054063,2979.28,2019-03-08,Active
PC00136-02,C00136,Life,3962118,7101.86,2018-07-24,Active
PC00137-01,C00137,Life,3488061,4653.69,2020-09-17,Active
PC00137-02,C00137,Life,2699405,4238.71,2022-03-10,Active
PC00138-01,C00138,Accident,873029,798.53,2021-12-09,Active
PC00139-01,C00139,Health,1774479,1817.81,2019-08-27,Active
PC00139-02,C00139,Investment,3397185,2507.17,2021-02-17,Active
PC00139-03,C00139,Life,2199663,3612.73,2021-08-09,Active
PC00140-01,C00140,Accident,1341889,672.06,2022-04-17,Active
PC00141-01,C00141,Investment,3263116,5534.09,2018-05-23,Active
PC00141-02,C00141,Health,1005763,1659.34,2020-05-04,Active
PC00142-01,C00142,Investment,3657894,7256.13,2019-11-01,Cancelled
PC00143-01,C00143,Investment,3485841,4467.03,2021-08-03,Active
PC00143-02,C00143,Life,1483317,2602.89,2020-01-20,Active
PC00144-01,C00144,Health,2246744,1792.06,2021-04-13,Active
PC00144-02,C00144,Accident,2555685,2749.17,2020-04-02,Active
PC00145-01,C00145,Accident,2287307,2037.25,2022-10-18,Active
PC00146-01,C00146,Accident,1024903,746.24,2022-08-24,Active
PC00147-01,C00147,Health,2528848,2022.37,2018-01-15,Active
PC00148-01,C00148,Investment,2667670,2823.78,2019-06-01,Active
PC00148-02,C00148,Life,4362954,2192.24,2019-11-10,Active
PC00148-03,C00148,Health,4203324,8260.88,2019-07-31,Active
PC00149-01,C00149,Life,4131089,5708.14,2018-01-17,Active
PC00149-02,C00149,Accident,374877,681.04,2022-01-19,Active
PC00149-03,C00149,Accident,939958,993.95,2019-10-18,Active
PC00150-01,C00150,Accident,1410896,744.17,2022-06-22,Lapsed
PC00150-02,C00150,Health,1515997,933.62,2019-12-01,Active
PC00151-01,C00151,Accident,4794176,3800.66,2021-10-18,Active
PC00152-01,C00152,Life,3020293,3728.74,2018-07-25,Active
PC00152-02,C00152,Health,2055411,3506.1,2022-05-18,Active
PC00153-01,C00153,Life,3046050,5616.16,2019-01-05,Active
PC00154-01,C00154,Accident,3955019,2078.28,2019-08-21,Active
PC00155-01,C00155,Investment,1730657,1174.34,2020-09-10,Active
PC00156-01,C00156,Health,4765007,4532.91,2022-08-08,Active
PC00157-01,C00157,Health,376972,411.42,2018-03-26,Active
PC00157-02,C00157,Investment,970148,1064.48,2022-07-03,Active
PC00158-01,C00158,Investment,3080587,5793.6,2019-07-28,Active
PC00158-02,C00158,Accident,4025488,7321.24,2020-11-06,Active
PC00158-03,C00158,Accident,1807184,2059.67,2022-12-09,Active
PC00159-01,C00159,Accident,3688736,4792.79,2022-07-30,Active
PC00159-02,C00159,Life,2439267,2530.75,2018-12-28,Active
PC00159-03,C00159,Life,2768396,4655.82,2019-04-22,Active
PC00160-01,C00160,Investment,4781014,6943.24,2018-09-01,Active
PC00160-02,C00160,Health,3814794,6798.62,2021-08-27,Active
PC00160-03,C00160,Health,3098323,3082.13,2021-07-13,Active
PC00161-01,C00161,Accident,1565299,1622.86,2021-08-11,Active
PC00161-02,C00161,Health,2244564,2336.63,2022-06-01,Active
PC00162-01,C00162,Health,3998657,3786.86,2018-08-08,Active
PC00162-02,C00162,Health,2290718,1636.26,2021-12-19,Active
PC00162-03,C00162,Investment,3294660,2831.24,2020-06-01,Active
PC00163-01,C00163,Life,1846849,2168.95,2021-07-10,Active
PC00164-01,C00164,Accident,4299841,4074.3,2022-05-09,Active
PC00165-01,C00165,Investment,2589753,4218.03,2020-09-15,Active
PC00165-02,C00165,Health,1543287,2952.09,2021-04-16,Active
PC00165-03,C00165,Life,111982,96.98,2021-07-01,Active
PC00166-01,C00166,Accident,1859996,1867.17,2019-02-22,Active
PC00166-02,C00166,Life,1991845,2163.16,2020-03-08,Active
PC00166-03,C00166,Accident,3154613,4400.49,2018-02-10,Lapsed
PC00167-01,C00167,Investment,2983689,3353.51,2022-09-08,Active
PC00168-01,C00168,Life,4587028,8432.65,2018-12-19,Cancelled
PC00169-01,C00169,Investment,2637819,2019.08,2021-03-06,Lapsed
PC00170-01,C00170,Life,2159551,2504.27,2022-11-04,Active
PC00171-01,C00171,Health,2679690,4690.63,2019-02-01,Active
PC00171-02,C00171,Accident,3259281,4767.92,2019-06-02,Active
PC00172-01,C00172,Life,4071348,7494.36,2018-05-20,Active
PC00173-01,C00173,Life,4725756,6500.45,2020-05-11,Active
PC00174-01,C00174,Health,4210593,2623.98,2021-11-02,Active
PC00174-02,C00174,Investment,801238,456.56,2022-10-14,Active
PC00175-01,C00175,Life,4388301,6802.87,2019-01-02,Active
PC00175-02,C00175,Investment,3441520,2490.53,2020-10-14,Active
PC00175-03,C00175,Health,4486342,4380.13,2019-12-05,Active
PC00176-01,C00176,Investment,626025,583.7,2021-09-24,Active
PC00176-02,C00176,Health,3660413,6753.63,2019-04-02,Active
PC00176-03,C00176,Health,4255956,5470.7,2022-12-14,Active
PC00177-01,C00177,Life,2871374,5435.69,2021-01-23,Active
PC00177-02,C00177,Life,4051508,6727.04,2018-11-02,Active
PC00178-01,C00178,Life,3437116,4482.82,2019-10-06,Active
PC00179-01,C00179,Health,1400547,2359.18,2018-08-13,Active
PC00179-02,C00179,Life,4574298,6194.47,2022-11-30,Active
PC00180-01,C00180,Life,3901570,6298.18,2018-01-20,Active
PC00180-02,C00180,Life,470682,637.22,2018-05-18,Active
PC00180-03,C00180,Investment,1835067,2039.97,2019-03-12,Active
PC00181-01,C00181,Accident,2485614,4091.55,2021-04-06,Active
PC00182-01,C00182,Health,3373930,5645.72,2019-10-10,Active
PC00182-02,C00182,Life,2428209,4411.92,2020-01-19,Active
PC00183-01,C00183,Accident,459064,618.21,2021-06-01,Active
PC00184-01,C00184,Health,3309995,5129.5,2020-01-05,Active
PC00185-01,C00185,Accident,3979124,6430.45,2021-04-08,Active
PC00185-02,C00185,Health,4874477,8023.72,2020-05-06,Active
PC00185-03,C00185,Life,974005,1100.56,2018-05-07,Active
PC00186-01,C00186,Accident,3860937,5337.66,2019-01-27,Active
PC00186-02,C00186,Accident,1798890,1569.95,2021-02-25,Active
PC00187-01,C00187,Investment,925991,874.76,2020-08-26,Active
PC00188-01,C00188,Health,1563337,841.24,2019-03-17,Active
PC00189-01,C00189,Life,466288,404.89,2020-03-01,Active
PC00190-01,C00190,Investment,1607274,894.98,2022-02-21,Active
PC00190-02,C00190,Health,3817741,6702.98,2019-01-29,Active
PC00191-01,C00191,Accident,986385,1595.14,2019-03-02,Active
PC00192-01,C00192,Life,4518573,9027.35,2022-08-24,Active
PC00192-02,C00192,Health,1619828,1823.83,2018-07-16,Active
PC00193-01,C00193,Life,2064374,2531.24,2020-01-08,Active
PC00193-02,C00193,Life,1936759,990.02,2019-09-02,Active
PC00194-01,C00194,Life,2577036,4330.05,2019-02-18,Active
PC00194-02,C00194,Health,2028294,1162.6,2019-01-01,Active
PC00194-03,C00194,Investment,3541857,3636.87,2018-07-08,Active
PC00195-01,C00195,Health,2951792,5221.99,2021-03-06,Active
PC00196-01,C00196,Accident,2117277,1068.83,2022-02-02,Active
PC00197-01,C00197,Health,1167424,755.27,2018-01-09,Active
PC00197-02,C00197,Life,1870451,2017.86,2018-02-09,Active
PC00198-01,C00198,Accident,3883260,3745.74,2022-10-22,Active
PC00198-02,C00198,Life,4699899,6410.14,2021-01-25,Active
PC00198-03,C00198,Accident,2100403,2854.25,2018-04-09,Active
PC00199-01,C00199,Accident,369503,263.18,2022-10-28,Active
PC00199-02,C00199,Accident,3784997,7257.19,2019-07-22,Active
PC00199-03,C00199,Accident,4784224,6136.62,2019-04-05,Active
PC00200-01,C00200,Accident,352157,513.19,2021-11-02,Active
PC00200-02,C00200,Investment,671298,993.27,2018-09-16,Active
PC00200-03,C00200,Health,1230319,1281.0,2021-03-01,Active
PC00201-01,C00201,Life,259690,265.59,2018-06-26,Active
PC00201-02,C00201,Accident,4084849,3892.36,2021-08-29,Active
PC00202-01,C00202,Health,1283958,2330.57,2021-06-08,Active
PC00203-01,C00203,Investment,4984565,5538.08,2019-05-18,Active
PC00203-02,C00203,Life,2084926,4107.05,2018-04-24,Active
PC00203-03,C00203,Life,1796256,1492.15,2022-01-15,Active
PC00204-01,C00204,Health,3391604,3295.13,2022-01-15,Active
PC00205-01,C00205,Investment,4146704,5770.87,2019-09-15,Active
PC00206-01,C00206,Life,196428,106.06,2021-05-11,Active
PC00206-02,C00206,Health,2319557,1810.27,2020-08-12,Active
PC00206-03,C00206,Life,1108522,629.92,2020-12-13,Active
PC00207-01,C00207,Investment,4961106,3922.39,2018-02-14,Active
